,LP1-Fx,LP1-Fy,LP1-Fz,LP1-Mx,LP1-My,LP1-Mz,LP2-Fx,LP2-Fy,LP2-Fz,LP2-Mx,LP2-My,LP2-Mz,LP3-Fx,LP3-Fy,LP3-Fz,LP3-Mx,LP3-My,LP3-Mz,LP4-Fx,LP4-Fy,LP4-Fz,LP4-Mx,LP4-My,LP4-Mz,,Knuckle_S,Bolt1_S,Bolt2_S,Bolt3_S,Bolt4_S,Bolt1_Loss,Bolt2_Loss,Bolt3_Loss,Bolt4_Loss,预紧力损失为百分比率分子
RandomSpace5,-2355.42,-4083.9,6850.51,0,0,0,30175.87,-38004.01,5321.87,0,0,0,-1101.81,-27010.75,-477.06,-59049.23,10909.73,16318.7,-4806.56,10126.86,-1181.05,-1824.06,12801.92,-35927.78,,245.12,838.18,836.93,850.82,843.054,1.19,1.35,12.99,10.63,
RandomSpace6,-3731.65,4491.56,-10520.18,0,0,0,-2490.6,-41862.35,22406.8,0,0,0,2956.15,29100.07,-963.4,42227.21,-20548.11,-45285.92,5934.57,-17747.23,-666.11,-32331.68,-282.98,998.09,,242.34,842.71,859.13,859.69,842.42,3.41,9.77,4.83,2.11,
RandomSpace7,915.42,-3794.57,-24963.88,0,0,0,14560.49,-13950.82,-23746.91,0,0,0,693.95,-22194.38,2331.51,107766.76,-17133.71,23253.87,8977.72,5575.7,653.44,-35186.27,-6932.29,-104671.66,,262.11,839.14,842.66,874.31,844.834,2.3,2.86,11.05,10.46,
RandomSpace8,-2748.78,-943.26,-23904.09,0,0,0,6246.71,-21293.27,-17364.67,0,0,0,1014.72,-27128.36,343.55,79631.34,12145.69,-45452.37,2466.76,-34137.76,3880.76,-32850.73,37201.42,-173859.96,,233.1,836.75,843.11,842.12,837.53,2.9,2.47,4.72,2.27,
RandomSpace9,-1077.15,-3416.96,-10065.04,0,0,0,27189.35,-1093.83,-3927.46,0,0,0,1683.12,12995.2,2060.64,-46987.02,-18428.66,-39047.31,2316.39,9265.57,-6662.82,57082.61,25534.21,-145599.34,,242.66,844.19,852.94,886.32,863.05,2.61,4.72,12.32,5.98,
RandomSpace10,-4081.06,6282.74,9225.26,0,0,0,-34921.08,-17952.05,12296.94,0,0,0,-181.73,2347.67,7318.53,113592.96,3434.59,-107284.35,13997.24,-31946.98,-4481.92,37921.74,15254.36,-32085.02,,232.28,836.54,837.89,838.96,841.96,1.87,0.59,3.3,1.98,
RandomSpace11,-1392.6,-4375.16,-15028.95,0,0,0,-30354.23,-19157.41,22184.74,0,0,0,2439.23,1677.87,1161.72,48534.48,-2332.88,-5324.43,-1191.19,17802.58,-1024.18,-17832.22,37931.27,-126258.13,,226.15,836.76,836.22,840.74,836.71,0.32,0.43,1.28,0.94,
RandomSpace12,-3867.39,2165.1,11762.07,0,0,0,22838.25,10173.85,-30190.66,0,0,0,1708.64,29105.9,11511.05,-21402.9,4010.49,-98834.14,14061.49,4905.51,-4863.25,-2766.06,-7381.2,233.29,,235.22,836.87,836.4,848.26,842.38,0.8,1.59,4.91,4.55,
RandomSpace13,-4123.69,-853.76,-22572.32,0,0,0,-5286.76,9874.42,-10300.07,0,0,0,1338.95,10587.68,6570.95,-92170.9,-5685.34,-100977.7,-3695.95,-5117.44,-1820.97,56446.76,40596.09,17582.52,,226.17,836.94,840.49,837.51,839.64,1.56,1.47,1.09,0.85,
RandomSpace14,-1887.64,-3443.2,17760.44,0,0,0,-10255.47,-39443.38,-22663.3,0,0,0,3344.62,11504.13,3987.48,111583.28,6054.47,-50974.77,13334.47,3304.61,-5935.59,15995.84,3356.73,-56033.5,,250.16,856.46,843.71,840.34,841.19,6.39,2.9,2.15,20.51,
RandomSpace15,867.14,5243.46,-22820.97,0,0,0,1882.83,15712.77,10026.04,0,0,0,-1335.71,19251.83,8423.73,-9427.31,7214.54,20682.45,5162.68,-34145.04,-203.44,49928.07,1558.98,-92447.96,,250.57,851.72,876.04,860.9,850.93,5.03,16.24,9.97,4.55,
RandomSpace16,1408.6,-769.16,3372.48,0,0,0,-2950.41,17634.74,10788.01,0,0,0,-293.82,-28084.92,11939.39,106588.28,-1143.93,-14381.41,11944.21,9367.15,-3285.56,68104.58,23932.39,-185907.22,,237.7,846.58,838.75,840,856.11,4.73,2.15,2.67,6.67,
RandomSpace17,971.67,-710.07,14365.05,0,0,0,-17664.91,13219.47,-3513.24,0,0,0,39.7,12518.42,-2183.53,-43554.46,-23661.63,-69035.43,8621.38,-8838.07,-5618.56,-43537.92,-3212.48,-1240.02,,226.95,838.76,837.77,843.09,845.62,1.85,0.72,2.69,3.03,
RandomSpace18,-1435.07,3081.26,-14817.47,0,0,0,-24349.05,-2088.04,-22521.74,0,0,0,1278.85,17198.58,-77.14,7753.85,696.43,11533.16,4370.79,-2266.53,-2936.95,50434.27,11054.48,-3108.17,,228.58,841.94,836.76,837.5,846.77,4.72,1.18,1.07,2.55,
RandomSpace19,-2064.71,5900.05,7277.07,0,0,0,-21446.49,30808.92,-21140.44,0,0,0,-1415.81,6233.15,8534.36,58269.38,-279.38,-74796.81,7045.09,-25754.93,-4614.95,43824.03,16480.67,-78625.18,,239.03,839.67,838.57,846.82,869.68,5,0.71,5.62,22.89,
RandomSpace20,-1842.31,-103.88,3497.12,0,0,0,15625.11,5125.68,20465.48,0,0,0,-1301.38,-16387.14,7784.12,20610.26,-29489.55,-108760.01,2004.67,10191.16,-3261.96,32143.94,26105.47,-100433.44,,247.93,854.64,839.44,846.36,873.03,3.51,1.99,4,9.4,
RandomSpace21,-1447.48,2534.86,4812.9,0,0,0,-18928.51,1462.21,-13246.25,0,0,0,-744.79,-13058.31,680.72,-38224.73,-942.7,-81359.17,-4772.41,-23762.87,-6952.72,-50156.29,21793.43,-86154.66,,241.78,841.17,838.02,848.95,861.05,4.54,0.86,6.4,9.21,
RandomSpace22,717.8,6231.45,-4849.72,0,0,0,-15424.29,-13738.45,-507.83,0,0,0,2186.07,-23220.72,5734.85,-104745.37,5294.25,-43675.68,10894.34,-4984.48,466.07,-44523.98,29341.44,-123452.15,,225.98,836.53,837.19,836.31,836.19,0.87,0.71,0.41,0.42,
RandomSpace23,-425.02,602.55,-12112.92,0,0,0,-22868.88,499.89,-509.7,0,0,0,4175.29,20669.12,531.3,-24941.52,-28529.77,-28527.93,9047.54,-19896.09,-4372.33,-34560.65,45083.76,-95590.75,,230.38,836.52,842.38,838.78,841.99,3.06,2.9,3.41,1.53,
RandomSpace24,716.29,1094.84,5996.42,0,0,0,7887.65,-14500.34,-4844.75,0,0,0,3665.49,-29112.11,547.89,36657.82,-13106.82,-56984.52,-1596.05,-14030.57,-823.05,-8196.49,4230.29,-193628.19,,225,836.98,836.52,836.43,836.61,0.92,0.53,0.4,0.32,
RandomSpace25,1031.09,4995.96,-9664.75,0,0,0,24448.88,21282.47,-17129.78,0,0,0,1529.97,-8536.36,8366.67,-40342.61,-13715.83,-23249.74,-5101.32,13520.06,3329.89,-8051.4,47280.65,-172111.15,,226.19,836.27,836.49,844.27,840.54,0.67,0.78,2.82,1.35,
RandomSpace26,-1231.68,-2141.43,-4567.31,0,0,0,32590.73,-35261.24,21084.43,0,0,0,2870.38,-15115.48,205.5,-64630.89,-20692.03,-55644.51,8535.2,-16259.18,-1746.26,21235.93,-7197.97,-109285.91,,256.17,849.25,856.72,898.33,874.71,3.24,4.89,15.4,10.36,
RandomSpace27,-844.98,-436.99,-25355.55,0,0,0,6563.85,26527.06,4859.28,0,0,0,-852.66,-2071.98,1314.94,-117084.83,-22892.16,-5919.55,11635.35,-20216.14,-3497.35,74061.03,46486.54,-186917.6,,252.27,856.99,873.52,877.5,870.77,4.87,9.9,9.19,7.99,
RandomSpace28,-710.19,-3522.81,-22526.96,0,0,0,-11163.24,-13280.79,16716.66,0,0,0,-1273.33,-10234.16,563.22,113332.78,2712.85,-99127.81,11868.8,11930.19,3783.86,66127.24,23333.1,355.18,,243.15,853.77,851.2,860.7,858.92,3.6,3.3,5.49,4.79,
