,LP1-Fx,LP1-Fy,LP1-Fz,LP1-Mx,LP1-My,LP1-Mz,LP2-Fx,LP2-Fy,LP2-Fz,LP2-Mx,LP2-My,LP2-Mz,LP3-Fx,LP3-Fy,LP3-Fz,LP3-Mx,LP3-My,LP3-Mz,LP4-Fx,LP4-Fy,LP4-Fz,LP4-Mx,LP4-My,LP4-Mz,,Knuckle_S,Bolt1_S,Bolt2_S,Bolt3_S,Bolt4_S,Bolt1_Loss,Bolt2_Loss,Bolt3_Loss,Bolt4_Loss,预紧力损失为百分比率分子
RandomSpace69,-3554.32,-4449.26,-6111.4,0,0,0,18995.03,-37172.69,-22771.54,0,0,0,-712.52,-26269.69,11584,-8504.13,-7110.32,-33300.68,4170.08,6241.91,-4766.18,5145.61,3421.98,-152621.92,,265.28,840.35,837.11,860.6,844.62,3.85,2.67,15.98,36.69,
RandomSpace70,-4148.45,4771.03,6338.48,0,0,0,4255.71,21965.54,-24353.47,0,0,0,2365.3,12871.8,-2023.12,-58948.31,7808.05,-27520.75,8793.67,-39959.91,2735.04,18583.15,-2867.61,-215017.35,,233.03,840.2,837.43,839.04,848.43,4.23,1.17,4.44,4.19,
RandomSpace71,1220.6,-1858.22,14814.67,0,0,0,-26313.11,-33800.62,13163.19,0,0,0,1323.21,9092.17,6145.9,101989.23,1315.6,-103748.47,8931.97,-36597.35,-734.93,-20731.97,-4978.54,-90827.87,,232.98,837.71,836.69,840.39,843.06,1.84,0.45,3.1,2.3,
RandomSpace72,-4104.34,-3987.63,-11945.61,0,0,0,33620.1,28632.09,-6561.23,0,0,0,3929.93,-3139.23,9186.9,123010.49,7084.38,-67606.55,-3190.24,-18010.72,3984.36,-23525.58,48705.07,-202937.22,,238.06,845.01,849.06,859.01,854.23,3.14,2.95,5.02,4.04,
RandomSpace73,1462.51,2507.04,4705.73,0,0,0,-20835.07,-27116.57,-6004.9,0,0,0,1796.01,5395.26,3792.72,-50120.45,-21262.64,-38936.34,15011.01,2132.92,-4462.91,61878.25,-9945.11,-218367.65,,228.08,838.24,837.26,837.91,836.78,1.23,1.26,0.71,1.89,
RandomSpace74,-3280.64,-2312.31,-25805.77,0,0,0,21877.77,4878.21,22172.13,0,0,0,-1499.92,19513.37,-1754.86,-26411.72,-25827.86,-84264.07,6315.55,21804.32,1029.42,59242.5,36963.49,-174145.02,,285.52,880.03,869.12,920.19,903.41,8.86,8.59,28.25,17.66,
RandomSpace75,-3831.09,3464.15,6766.36,0,0,0,5399.29,17887.17,19145.86,0,0,0,1902.72,-20003.43,-818.75,57213.16,-5542.78,5471.65,5796.67,-5376.59,-3117.81,75897.44,48824.52,-132803.32,,227.63,844.86,839.6,840.4,853.7,2.27,1.2,1.77,5.52,
RandomSpace76,-3028.89,805.45,-1914.13,0,0,0,-28667.39,-8513.46,9512,0,0,0,1952.33,20118.44,4844.02,43074.51,-1492.95,14077.87,-4002.93,-36343.45,438.74,16615.8,6870.83,-42484.37,,259.16,837.24,839.82,845.68,862.8,4.58,0.78,15.74,15.27,
RandomSpace77,-2779.67,-778.86,-15611.83,0,0,0,-25682.06,2266.9,-30117.79,0,0,0,3397.26,-23883.84,5301.94,-43826.07,-1420.5,21444.49,-2215.47,-25932.58,865.87,47431.61,39950.43,-129442.24,,241.86,845.76,836.67,847.42,873.24,8,0.9,8.32,14.56,
RandomSpace78,-3132.32,-883.49,-16593.37,0,0,0,1942.71,-5958.54,-5494.86,0,0,0,311.06,18602.48,5054.32,-27927.33,10134.7,-66601.58,8047.98,-36599.59,2986.73,67228.38,-3319.94,-205310.42,,238.05,841.81,854.4,849.13,837.26,3.37,6.38,6.57,1.08,
RandomSpace79,2026.88,-2050.77,-21919.95,0,0,0,-12624.83,-41197.32,19627.29,0,0,0,2050.08,-9120.38,10363.37,18598.09,-16797.46,-61191.87,7305.16,17842.09,-2188.09,19729.73,33789.93,10217.52,,239.17,843.1,842.6,862.29,851.75,2.35,2.59,8.34,3.87,
RandomSpace80,-1130.38,4729.15,6521.53,0,0,0,-24382.62,-44706.1,-26232.28,0,0,0,2650.38,-11693.98,3709.8,-81457.77,-28071.34,-91229.88,9296.16,-32625.93,-4013.77,49358.81,33975.83,-122870.55,,242.3,857.95,842.47,838.03,850.62,11.49,1.43,4.85,14.91,
RandomSpace81,-2152.73,2636.88,-7328.22,0,0,0,-28084.08,-3325.29,-2735.66,0,0,0,1987.47,-29949.83,11365.28,-82704.87,4628.71,-20792.63,6983.83,-22099.2,-5837.85,-28906.27,-2898.17,-132720.96,,229,836.91,836.25,837.75,842.51,2.32,0.63,1.76,2.07,
RandomSpace82,-2822.1,650.53,-481.07,0,0,0,-1912.03,-13365.65,-17620.42,0,0,0,-229.52,-7914.65,8278.29,39513.23,-1085.08,-50371.05,5524.5,7083.73,-867.99,-8003.43,3474.72,-75355.26,,228.49,836.62,836.27,839.76,836.72,1.18,0.82,1.04,1.85,
RandomSpace83,2198.64,-1009.09,-20718.86,0,0,0,4946.99,-10478.19,-10519.23,0,0,0,1495.12,-11153.93,11846.22,49162.54,-22079.67,1992.72,14332.43,-30021.61,-450.99,-3436.54,46046.77,-211923.8,,242.42,842.05,852.57,861.47,843.26,2.67,4.83,5.34,2.52,
RandomSpace84,-4277.75,3246.32,8200.88,0,0,0,-34150.66,30510.12,-21659.13,0,0,0,941.61,25738.93,9224.87,89777.53,-11443.97,14725.14,5630.38,-33384.57,-3667.93,-27074.25,7050.71,-107821.47,,290,844.42,840.24,865.47,943.83,10.31,0.93,18.08,93.72,
RandomSpace85,-2006.5,-3695.71,18194.3,0,0,0,-1280.14,-18390.48,-30621.13,0,0,0,2678.26,14153.7,7273.09,-64384.93,-958.11,2050.28,-3323.54,-26215.25,-6783.85,9832.14,9733.53,-186277.18,,240.71,861.69,843.48,847.44,865.96,8.93,2.15,3.16,8.61,
RandomSpace86,-660.58,1156.64,-15404.64,0,0,0,26601.16,-31708.31,-3917.11,0,0,0,498.17,3443.73,7187.52,-18294.09,2673.58,-56156.64,7267.64,21069.71,-6841.59,-17027.61,5912.63,-134542.39,,290,842.45,856.28,959.29,873.91,3.93,7.41,83.77,27.38,
RandomSpace87,-2769.99,3753.98,-15736.11,0,0,0,-31828.23,-24529.33,12571.67,0,0,0,3716,-28295.42,4571.74,63855.87,6027.16,-45946.42,6288.08,7887.64,3078.63,36961.83,26674.34,-24441.72,,227.38,836.58,836.93,838.52,836.27,0.96,0.58,0.93,0.81,
RandomSpace88,-2120.58,6457.96,-20898.89,0,0,0,32048.17,-7493.06,16879.7,0,0,0,3955.09,28984.5,-1517.09,-65115.99,-802.1,-97919.96,-3340.19,-5724.97,-4021.55,-44158.29,5067.56,-96543.98,,286.92,854.23,880.75,919,872.93,5.79,32.59,20.71,7.69,
RandomSpace89,-794.31,1935.9,-3839.52,0,0,0,3559.13,13310.68,20665.71,0,0,0,-64.18,26733.75,4000.95,-91078.19,-11307.91,-39100.47,11935.65,6832.24,-2954.04,77079.13,26655.62,-46143.33,,257.04,861.41,848.06,859.97,878.47,4.86,3.59,4.92,10.3,
RandomSpace90,959.16,3295.67,13841.39,0,0,0,-2578.89,-36457.69,7032.93,0,0,0,3879.13,26378.02,-2302.2,-7011.04,-24157.44,-104808.39,9917.08,-22971.32,3749.69,-12127.39,23383.33,-231935.92,,229.07,841.08,838.12,836.78,837.28,1.94,1.5,0.39,1.33,
RandomSpace91,463.32,4856.45,-20043.81,0,0,0,-14821.64,-37984.99,-1359.46,0,0,0,-1091.07,-28974.76,522.34,-25439.5,11222.95,-100355.04,13210.93,-36626.53,2860.39,46132.76,23804.17,-185498.5,,232.43,836.84,842.39,840.67,837,2.49,2.59,4.13,1.49,
RandomSpace92,-2437.07,3934.22,-11549.07,0,0,0,-7327.57,-37746.18,17912.16,0,0,0,2834.48,6275.38,6425.23,-46861.14,567.74,7807.49,5662.81,18880.23,-2987.04,48455.82,50600.51,-116656.23,,231.32,840.85,841.85,859.67,845.75,1.64,2.46,8.2,3.41,
RandomSpace93,-2708.4,-2646.41,15819.92,0,0,0,33590.39,-25922.68,9544.26,0,0,0,3383.59,-22960.52,-2324.95,-85664.39,1099.59,-74423.33,-3652.91,1761.16,2722.3,-4012.78,1879.47,-99559.57,,234.88,837.24,836.62,844.81,"843,.43",0.7,0.87,4.18,4.54,
RandomSpace94,206.47,1900.45,-1719.85,0,0,0,-10169.58,10431.58,979.68,0,0,0,1947.99,-21286.27,-896.61,30763.22,3063.73,-85314.76,6320.07,-15164.42,2866.64,34092.18,45562.9,-203021.47,,223.91,836.27,836.1,836.48,838.44,0.73,0.04,0.89,0.85,
RandomSpace95,-988.99,1093.85,-25831.02,0,0,0,23271.9,-39568.54,-2940.31,0,0,0,623.93,14267.64,5489.23,37427.22,-3322.96,14130.24,-1539.58,4907.52,2077.36,-41650.84,46180.12,1501.98,,269.68,840.84,851.34,900.84,848.55,2.79,5.83,17.27,15.97,
RandomSpace96,-2331.37,-3353.87,15618.59,0,0,0,-27497.17,25589.18,9594.31,0,0,0,-1148.25,773.95,2059.56,50488.85,-28883.55,-90270.57,11718.93,-22719.68,1046.9,-16283.07,28966.63,-132428.09,,244.99,836.88,838.44,855.36,851.69,2.2,0.51,5.04,39.54,
RandomSpace97,334.22,1962.07,10634.69,0,0,0,23872.7,-14462.51,-30653.45,0,0,0,3984.55,24036.87,-689.14,-14765.79,-24666.44,-76743.43,599.57,-28047.28,-6126.26,44404.88,119.96,-131036.01,,241.91,845.13,838.94,839.08,841.04,6.32,3.13,2.07,9.07,
RandomSpace98,-1963.73,-4226.22,-12296.97,0,0,0,-4706.67,-20302,3006.53,0,0,0,1844.42,-11068.06,2275.91,-117120.5,-20222.62,-69183.9,14644.34,17636.82,1018.18,11372.85,30623.87,-124475.79,,230.63,841.33,839.96,860.03,848.11,1.67,1.84,12.88,3.72,
RandomSpace99,753.88,-917.95,-21798.28,0,0,0,8104.1,-16367.16,-27630.88,0,0,0,168.54,9420.4,-2040.13,27118.75,-10764.68,21950.14,15649.22,-20558.52,3670.39,75530.94,8625.47,-223683.1,,253.45,836.62,845.39,866.6,841.01,4.07,5.82,6.97,10.75,
RandomSpace100,1115.11,-1429.81,14292.83,0,0,0,3233.66,-41105.29,-22532.9,0,0,0,4222.83,-29270.42,7137.57,39973.32,2664.76,-10993.31,8813.19,-16694.21,-6569.36,39346.41,9076.14,-59180.76,,249.22,840.79,838.72,838.12,840.13,5.25,1.67,1.37,20.81,
